1.00 4.79 0.50
2.00 4.33 0.50
3.00 5.56 0.50
4.00 5.09 0.50
5.00 4.90 0.50
6.00 4.74 0.50
7.00 5.12 0.50
8.00 5.20 0.50
9.00 5.33 0.50
10.00 4.90 0.50
11.00 5.20 0.50
12.00 4.54 0.50
13.00 4.58 0.50
14.00 5.75 0.50
15.00 5.31 0.50
16.00 4.35 0.50
17.00 4.73 0.50
18.00 5.41 0.50
19.00 5.18 0.50
20.00 4.73 0.50
21.00 5.68 0.50
22.00 4.62 0.50
23.00 5.16 0.50
24.00 5.75 0.50
25.00 3.98 0.50
26.00 4.83 0.50
27.00 4.78 0.50
28.00 5.44 0.50
29.00 4.97 0.50
30.00 4.74 0.50
31.00 4.68 0.50
32.00 4.86 0.50
33.00 4.55 0.50
34.00 5.15 0.50
35.00 4.79 0.50
36.00 5.19 0.50
37.00 5.10 0.50
38.00 4.64 0.50
39.00 5.14 0.50
40.00 5.33 0.50
41.00 4.16 0.50
42.00 5.37 0.50
43.00 5.19 0.50
44.00 5.41 0.50
45.00 5.04 0.50
46.00 4.94 0.50
47.00 5.25 0.50
48.00 5.26 0.50
49.00 5.31 0.50
50.00 4.70 0.50
51.00 5.14 0.50
52.00 4.62 0.50
53.00 4.07 0.50
54.00 5.28 0.50
55.00 5.21 0.50
56.00 5.01 0.50
57.00 4.85 0.50
58.00 4.86 0.50
59.00 5.78 0.50
60.00 5.25 0.50
61.00 5.50 0.50
62.00 5.03 0.50
63.00 4.88 0.50
64.00 4.76 0.50
65.00 5.42 0.50
66.00 4.75 0.50
67.00 4.56 0.50
68.00 4.27 0.50
69.00 5.18 0.50
70.00 4.60 0.50
71.00 5.52 0.50
72.00 4.43 0.50
73.00 5.39 0.50
74.00 4.55 0.50
75.00 5.12 0.50
76.00 5.99 0.50
77.00 5.02 0.50
78.00 4.45 0.50
79.00 4.81 0.50
80.00 3.12 0.50
81.00 5.06 0.50
82.00 5.46 0.50
83.00 4.93 0.50
84.00 5.16 0.50
85.00 4.76 0.50
86.00 4.83 0.50
87.00 4.88 0.50
88.00 5.42 0.50
89.00 3.99 0.50
90.00 5.54 0.50
91.00 4.66 0.50
92.00 5.03 0.50
93.00 5.14 0.50
94.00 5.26 0.50
95.00 5.18 0.50
96.00 5.10 0.50
97.00 5.47 0.50
98.00 5.23 0.50
99.00 4.55 0.50
100.00 4.82 0.50
