0.10000 8.78769
0.20000 7.98609
0.30000 8.20039
0.40000 7.68980
0.50000 7.71566
0.60000 7.06845
0.70000 6.90001
0.80000 6.82494
0.90000 6.43392
1.00000 6.62714
1.10000 6.48836
1.20000 6.44901
1.30000 5.96843
1.40000 6.65893
1.50000 5.69688
1.60000 5.82869
1.70000 6.57347
1.80000 4.75363
1.90000 4.36354
2.00000 4.31168
2.10000 4.75107
2.20000 5.58303
2.30000 4.84189
2.40000 3.95176
2.50000 3.85870
2.60000 4.07013
2.70000 3.14954
2.80000 3.41398
2.90000 3.52222
3.00000 4.25959
3.10000 3.29104
3.20000 3.55894
3.30000 2.98777
3.40000 2.92301
3.50000 3.04096
3.60000 2.72463
3.70000 2.72748
3.80000 3.68466
3.90000 3.02058
4.00000 2.75006
4.10000 2.80297
4.20000 2.01820
4.30000 2.90442
4.40000 2.54523
4.50000 1.95381
4.60000 2.35417
4.70000 1.65164
4.80000 1.54415
4.90000 2.11177
5.00000 2.07157
5.10000 1.60453
5.20000 2.31291
5.30000 1.93082
5.40000 2.69409
5.50000 1.50592
5.60000 2.09506
5.70000 1.61831
5.80000 1.48256
5.90000 1.99309
6.00000 1.66972
